,user_name,top_track_name,top_track_artist
376,quicksandz,This Enchanted,Hatchie
377,quicksandz,Tyrant (feat. Jorja Smith),Kali Uchis
378,quicksandz,Rewind,Kelela
379,quicksandz,I Love You I Hate You,Little Simz
380,quicksandz,BITE ME,Kilo Kish
381,quicksandz,The Key to Life on Earth,Declan McKenna
382,quicksandz,Glory Box,Portishead
383,quicksandz,Hu Man,Greentea Peng
384,quicksandz,So Hot You're Hurting My Feelings,Caroline Polachek
385,quicksandz,NICE OUT,Kilo Kish
386,quicksandz,Be Sweet,Japanese Breakfast
387,quicksandz,Zatoichi,Denzel Curry
388,quicksandz,Confessions,Sudan Archives
389,quicksandz,Nothing Matters,The Last Dinner Party
390,quicksandz,Happy Ending,Kelela
391,quicksandz,I'm Not in Love,Kelsey Lu
392,quicksandz,how will i rest in peace if i'm buried by a highway?//,KennyHoopla
393,quicksandz,Sour Times,Portishead
394,quicksandz,SLIME,Shygirl
395,quicksandz,Spotlight,Jessie Ware
396,quicksandz,Darker Place,Rachel Chinouriri
397,quicksandz,DARE,Gorillaz
398,quicksandz,Bashiri,Moonchild Sanelly
399,quicksandz,Lava/Treacle,Eliza
400,TheoMarvel43,Lowkey as Hell,Waterparks
401,TheoMarvel43,You’d Be Paranoid Too (If Everyone Was Out To Get You),Waterparks
402,TheoMarvel43,Wildest Dreams (Taylor's Version),Taylor Swift
403,TheoMarvel43,I Just Wanna Know What Happens When I'm Dead,Hot Milk
404,TheoMarvel43,Just Kidding,Waterparks
405,TheoMarvel43,Violet!,Waterparks
406,TheoMarvel43,champagne problems,Taylor Swift
407,TheoMarvel43,Numb,Waterparks
408,TheoMarvel43,debbie downer,LØLØ & Maggie Lindemann
409,TheoMarvel43,Snow Globe,Waterparks
410,TheoMarvel43,He Said She Said,CHVRCHES
411,TheoMarvel43,Quarantine,blink-182
412,TheoMarvel43,Feeling This,blink-182
413,TheoMarvel43,Favorite Place (feat. The Band CAMINO),All Time Low
414,TheoMarvel43,PMA (feat. Pale Waves),All Time Low
415,TheoMarvel43,Magnetic,Waterparks
416,TheoMarvel43,Cruel Summer,Taylor Swift
417,TheoMarvel43,The Other Side of the Door (Taylor’s Version),Taylor Swift
418,TheoMarvel43,He Gets Me So High,beabadoobee
419,TheoMarvel43,Once In A Lifetime,All Time Low
420,TheoMarvel43,Last Kiss,Taylor Swift
421,TheoMarvel43,Dendron,The Hotelier
422,TheoMarvel43,Generational Divide,blink-182
423,TheoMarvel43,It Finds Us All,Keith Wallen
424,TheoMarvel43,Monsters (feat. Blackbear),All Time Low
425,TheoMarvel43,EDGING,blink-182
426,TheoMarvel43,love race (feat. Kellin Quinn),Machine Gun Kelly
427,TheoMarvel43,How You Love Me Now,Hey Monday
428,TheoMarvel43,"no body, no crime (feat. HAIM)",Taylor Swift
429,TheoMarvel43,Built This Pool,blink-182
430,TheoMarvel43,Stockholm Syndrome,blink-182
431,TheoMarvel43,Going Away to College,blink-182
432,TheoMarvel43,Some Kind Of Disaster,All Time Low
433,TheoMarvel43,"Teasing to Please (Left Side, Strong Side)",Cute Is What We Aim For
434,TheoMarvel43,You've Got So Far to Go,Alkaline Trio
435,TheoMarvel43,Trouble Is,All Time Low
436,TheoMarvel43,Read My Mind,You Me at Six
437,TheoMarvel43,'tis the damn season,Taylor Swift
438,TheoMarvel43,Carolina (From The Motion Picture “Where The Crawdads Sing”),Taylor Swift
439,TheoMarvel43,Where do we go now?,Gracie Abrams
440,TheoMarvel43,This Love (Taylor’s Version),Taylor Swift
441,TheoMarvel43,"jealousy, jealousy",Olivia Rodrigo
442,TheoMarvel43,American Graffiti,Waterparks
443,TheoMarvel43,All Too Well,Taylor Swift
444,TheoMarvel43,willow,Taylor Swift
445,TheoMarvel43,ivy,Taylor Swift
446,TheoMarvel43,"January Gloom (Seasons, Pt. 1)",All Time Low
447,TheoMarvel43,What's My Age Again?,blink-182
448,TheoMarvel43,Melancholy Kaleidoscope,All Time Low
449,TheoMarvel43,Dammit,blink-182
450,wahoo650,Lucid,Jesus Piece
451,wahoo650,Swallowing the Rabbit Whole,Code Orange
452,wahoo650,Slaves to Substance,Suicide Silence
453,wahoo650,Destroyed by Hippie Powers,Car Seat Headrest
454,wahoo650,The Last Words,Cauldron
455,wahoo650,Translating the Name,Saosin
456,wahoo650,"Lies Of Serpents, A River Of Tears",Zao
457,wahoo650,Orange Julius,Joyce Manor
458,wahoo650,A Boy Brushed Red Living in Black and White,Underoath
459,wahoo650,Fill in the Blank,Car Seat Headrest
460,wahoo650,Let Go,Chimaira
461,wahoo650,Don't Panic,Coldplay
462,wahoo650,Concubine,Converge
463,wahoo650,The Casualty,Cursive
464,wahoo650,The Martyr,Cursive
465,wahoo650,Christmas Card,Joyce Manor
466,wahoo650,Magnolia,Playboi Carti
467,wahoo650,Unanswered,Suicide Silence
468,wahoo650,All That's Left,Thrice
469,wahoo650,Virus://Vibrance,Vein
470,wahoo650,The Quiet Things That No One Ever Knows,Brand New
471,wahoo650,Let the Cool Goddess Rust Away,Clap Your Hands Say Yeah
472,wahoo650,In Fear,Code Orange
473,wahoo650,Yellow,Coldplay
474,wahoo650,Street Carp,Deftones
475,wahoo650,Pretty Lush,Glassjaw
